Id,SalePrice
1461,118855.53
1462,159682.7
1463,181907.08
1464,193429.75
1465,183225.92
1466,173749.11
1467,162454.28
1468,157482.05
1469,173828.98
1470,126121.68
1471,167299.06
1472,97585.96
1473,96725.16
1474,143350.78
1475,109986.64
1476,357861.06
1477,252582.92
1478,294487.6
1479,304439.22
1480,435230.53
1481,348223.22
1482,198369.14
1483,177575.33
1484,173962.27
1485,177930.12
1486,188629.48
1487,340075.72
1488,220496.31
1489,207553.62
1490,268137.97
1491,201043.75
1492,88209.44
1493,198220.89
1494,265712.9
1495,254710.5
1496,243903.48
1497,159336.69
1498,182475.1
1499,167366.8
1500,172807.6
1501,192518.97
1502,159074.48
1503,239190.52
1504,247395.45
1505,249204.48
1506,187625.5
1507,232370.58
1508,192918.61
1509,150045.39
1510,148229.8
1511,141762.28
1512,152050.16
1513,150259.55
1514,148243.06
1515,165438.56
1516,143794.25
1517,142737.33
1518,122861.08
1519,230304.33
1520,132404.22
1521,133106.58
1522,170349.23
1523,113663.64
1524,115353.86
1525,113906.15
1526,105556.06
1527,92718.54
1528,133481.08
1529,147273.06
1530,173190.45
1531,119238.37
1532,77233.37
1533,128571.84
1534,118365.61
1535,136075.0
1536,111507.32
1537,59266.703
1538,149446.42
1539,174211.39
1540,72389.25
1541,145906.11
1542,137625.64
1543,192148.48
1544,73992.62
1545,116007.74
1546,132690.12
1547,142995.25
1548,122862.28
1549,113995.85
1550,146177.16
1551,89510.37
1552,155983.36
1553,145038.8
1554,130420.31
1555,156680.81
1556,101374.67
1557,111750.74
1558,95132.8
1559,69225.086
1560,133420.77
1561,118605.37
1562,132165.05
1563,122942.99
1564,152323.78
1565,174430.06
1566,230257.86
1567,79627.11
1568,231703.11
1569,152521.28
1570,137457.16
1571,94597.08
1572,157170.17
1573,228534.36
1574,136290.3
1575,221210.67
1576,254896.5
1577,198703.64
1578,139970.58
1579,134784.6
1580,183703.94
1581,155729.78
1582,128413.94
1583,263456.28
1584,221231.62
1585,142754.67
1586,71945.19
1587,101745.51
1588,151837.9
1589,94609.375
1590,133881.98
1591,112734.29
1592,106485.03
1593,122802.74
1594,133680.72
1595,108795.74
1596,248049.7
1597,202543.12
1598,207962.45
1599,149621.11
1600,140100.95
1601,78102.414
1602,131221.36
1603,56455.81
1604,295864.94
1605,225124.73
1606,159153.23
1607,149191.34
1608,228071.19
1609,174805.22
1610,165807.86
1611,144205.92
1612,172592.12
1613,168135.17
1614,112413.664
1615,77994.7
1616,66712.07
1617,75314.7
1618,134616.17
1619,148877.56
1620,170581.64
1621,135312.1
1622,161358.73
1623,254031.25
1624,225175.98
1625,103604.28
1626,164862.47
1627,188616.7
1628,282489.16
1629,185166.45
1630,295894.12
1631,234528.58
1632,239299.42
1633,177509.31
1634,201641.58
1635,178283.2
1636,158911.27
1637,203337.28
1638,194549.22
1639,176315.44
1640,232703.67
1641,167864.12
1642,293952.4
1643,232487.23
1644,267923.72
1645,191281.1
1646,153320.2
1647,152707.4
1648,122150.516
1649,135542.3
1650,125500.24
1651,117457.45
1652,91118.56
1653,97630.91
1654,137270.19
1655,140227.72
1656,141158.62
1657,138840.6
1658,144367.03
1659,119663.375
1660,141296.36
1661,396829.3
1662,357808.2
1663,325956.3
1664,465941.25
1665,278566.38
1666,339867.94
1667,359270.1
1668,338267.56
1669,291595.1
1670,321752.34
1671,254640.94
1672,343719.9
1673,275514.66
1674,248353.38
1675,198544.94
1676,211221.6
1677,209445.11
1678,473693.1
1679,371124.47
1680,339142.06
1681,246110.2
1682,338618.62
1683,203463.83
1684,172796.05
1685,170018.55
1686,175413.75
1687,168827.58
1688,201309.42
1689,193061.66
1690,191263.64
1691,187741.73
1692,264426.53
1693,169907.64
1694,185236.77
1695,175932.39
1696,264409.56
1697,162393.77
1698,357161.5
1699,316513.4
1700,307503.97
1701,245910.4
1702,244969.22
1703,238094.45
1704,275516.03
1705,254716.22
1706,325564.25
1707,235768.64
1708,214444.78
1709,277763.84
1710,256118.94
1711,275708.0
1712,251616.28
1713,286333.0
1714,233687.45
1715,228074.92
1716,177169.2
1717,187877.62
1718,129350.6
1719,244395.11
1720,229527.64
1721,163632.1
1722,126054.55
1723,162322.84
1724,178142.11
1725,258991.53
1726,210394.81
1727,154936.02
1728,180222.56
1729,168820.31
1730,153786.9
1731,118464.75
1732,130169.12
1733,108428.914
1734,124234.836
1735,124697.59
1736,117910.68
1737,282314.34
1738,273160.06
1739,227794.08
1740,221297.72
1741,210057.36
1742,178062.95
1743,177785.05
1744,382106.78
1745,228870.23
1746,170104.19
1747,204441.39
1748,224852.72
1749,150521.97
1750,120610.945
1751,221950.66
1752,108774.37
1753,138889.48
1754,192527.42
1755,163728.55
1756,130324.47
1757,109514.914
1758,153399.8
1759,146807.8
1760,180105.78
1761,145281.77
1762,171712.9
1763,170880.95
1764,128007.73
1765,151366.31
1766,168123.25
1767,186294.64
1768,135980.75
1769,146860.42
1770,150305.5
1771,124201.36
